Date,Open,High,Low,Close,Adj Close,Volume,Revenue,Net Income,EPS,Operating Income,Current Ratio,EBITDA
2020/4/7,6.9325,6.95625,6.4325,6.47575,6.453569,784520000,3105,951,0.04,990,7.67,1096
2020/4/8,6.58525,6.69875,6.515,6.67375,6.650891,542444000,3105,951,0.04,990,7.67,1096
2020/4/9,6.8,6.823,6.5105,6.57375,6.551234,525564000,3105,951,0.04,990,7.67,1096
2020/4/13,6.51375,6.755,6.425,6.74625,6.723142,398408000,3105,951,0.04,990,7.67,1096
2020/4/14,6.875,7.133,6.84725,7.09875,7.074436,530948000,3105,951,0.04,990,7.67,1096
2020/4/15,6.93,7.10425,6.8845,7.021,6.996951,366148000,3105,951,0.04,990,7.67,1096
2020/4/16,7.177,7.475,7.16375,7.3675,7.342265,745620000,3105,951,0.04,990,7.67,1096
2020/4/17,7.45,7.4715,7.1735,7.308,7.282969,539120000,3105,951,0.04,990,7.67,1096
2020/4/20,7.181,7.3375,7.13175,7.17625,7.151669,449388000,3105,951,0.04,990,7.67,1096
2020/4/21,7.05775,7.11925,6.67775,6.73775,6.714672,735160000,3105,951,0.04,990,7.67,1096
2020/4/22,6.93075,7.19675,6.885,7.15375,7.129245,483356000,3105,951,0.04,990,7.67,1096
2020/4/23,7.196,7.3285,7.075,7.10025,7.07593,424160000,3105,951,0.04,990,7.67,1096
2020/4/24,7.09,7.24175,7.015,7.23975,7.214952,352328000,3105,951,0.04,990,7.67,1096
2020/4/27,7.37475,7.5875,7.35,7.427,7.40156,479388000,3105,951,0.04,990,7.67,1096
2020/4/28,7.575,7.605,7.2785,7.284,7.259051,442904000,3105,951,0.04,990,7.67,1096
2020/4/29,7.41925,7.5145,7.34375,7.4615,7.435942,379160000,3105,951,0.04,990,7.67,1096
2020/4/30,7.40725,7.4615,7.293,7.307,7.281973,375916000,3080,917,0.04,976,10.29,1083
2020/5/1,7.10875,7.2225,7.021,7.0695,7.045285,342096000,3080,917,0.04,976,10.29,1083
2020/5/4,7.022,7.296,7.022,7.28225,7.257306,317556000,3080,917,0.04,976,10.29,1083
2020/5/5,7.38675,7.50675,7.28225,7.3435,7.318347,368896000,3080,917,0.04,976,10.29,1083
2020/5/6,7.42325,7.55,7.38525,7.44475,7.419248,323464000,3080,917,0.04,976,10.29,1083
2020/5/7,7.5845,7.68525,7.533,7.62175,7.595643,373732000,3080,917,0.04,976,10.29,1083
2020/5/8,7.69375,7.81875,7.65975,7.8125,7.78574,339216000,3080,917,0.04,976,10.29,1083
2020/5/11,7.8075,8.1125,7.77875,8.0655,8.037873,469060000,3080,917,0.04,976,10.29,1083
2020/5/12,8.1235,8.1725,7.79275,7.8025,7.775774,493060000,3080,917,0.04,976,10.29,1083
2020/5/13,7.9175,8.0785,7.59475,7.78,7.753353,625852000,3080,917,0.04,976,10.29,1083
2020/5/14,7.84175,8.036,7.6875,8.0305,8.002994,602312000,3080,917,0.04,976,10.29,1083
2020/5/15,7.88975,8.5005,7.874,8.49075,8.461665,987660000,3080,917,0.04,976,10.29,1083
2020/5/18,8.7605,8.9165,8.6805,8.75025,8.72028,774460000,3080,917,0.04,976,10.29,1083
2020/5/19,8.79025,9.0875,8.76275,8.8055,8.775338,717320000,3080,917,0.04,976,10.29,1083
2020/5/20,8.991,9.043,8.88875,8.97,8.939276,587536000,3080,917,0.04,976,10.29,1083
2020/5/21,9.0515,9.0525,8.7375,8.77525,8.745193,761068000,3080,917,0.04,976,10.29,1083
2020/5/22,8.82525,9.093,8.71325,9.02625,8.995333,1038764000,3080,917,0.04,976,10.29,1083
2020/5/26,9.15675,9.18175,8.672,8.71775,8.687889,770780000,3080,917,0.04,976,10.29,1083
2020/5/27,8.625,8.63275,7.99675,8.52525,8.49605,1175892000,3080,917,0.04,976,10.29,1083
2020/5/28,8.41225,8.7605,8.37925,8.487,8.457932,734896000,3080,917,0.04,976,10.29,1083
2020/5/29,8.5545,8.8755,8.485,8.8755,8.8451,745256000,3080,917,0.04,976,10.29,1083
2020/6/1,8.83325,8.84075,8.6895,8.80625,8.776088,389876000,3080,917,0.04,976,10.29,1083
2020/6/2,8.79625,8.83725,8.658,8.82525,8.795022,391320000,3080,917,0.04,976,10.29,1083
2020/6/3,8.82225,8.86625,8.7,8.7695,8.739462,365440000,3080,917,0.04,976,10.29,1083
2020/6/4,8.728,8.94325,8.6775,8.7665,8.74046,424280000,3080,917,0.04,976,10.29,1083
2020/6/5,8.7945,8.997,8.708,8.92,8.893504,481748000,3080,917,0.04,976,10.29,1083
2020/6/8,8.87725,8.88975,8.68575,8.805,8.778845,387736000,3080,917,0.04,976,10.29,1083
2020/6/9,8.8,9.10975,8.75125,9.046,9.019129,468488000,3080,917,0.04,976,10.29,1083
2020/6/10,9.16775,9.5,9.1535,9.36675,9.338927,632180000,3080,917,0.04,976,10.29,1083
2020/6/11,9.15,9.26125,8.786,8.79625,8.770122,583652000,3080,917,0.04,976,10.29,1083
2020/6/12,9.1625,9.18725,8.70325,8.9325,8.905966,570908000,3080,917,0.04,976,10.29,1083
2020/6/15,8.81525,9.18225,8.74375,9.17375,9.146499,400004000,3080,917,0.04,976,10.29,1083
2020/6/16,9.225,9.26675,8.83875,9.0685,9.041563,535716000,3080,917,0.04,976,10.29,1083
2020/6/17,9.11375,9.299,9.07025,9.236,9.208563,408304000,3080,917,0.04,976,10.29,1083
2020/6/18,9.227,9.2825,9.1145,9.218,9.19062,254408000,3080,917,0.04,976,10.29,1083
2020/6/19,9.2425,9.445,9.22725,9.26125,9.233739,524160000,3080,917,0.04,976,10.29,1083
2020/6/22,9.3,9.53125,9.27325,9.52675,9.498451,398468000,3080,917,0.04,976,10.29,1083
2020/6/23,9.551,9.6425,9.4075,9.45,9.42193,375108000,3080,917,0.04,976,10.29,1083
2020/6/24,9.47625,9.5565,9.1445,9.2355,9.208067,449372000,3080,917,0.04,976,10.29,1083
2020/6/25,9.35575,9.505,9.18225,9.49,9.461809,376072000,3080,917,0.04,976,10.29,1083
2020/6/26,9.5,9.5,9.125,9.155,9.127805,592084000,3080,917,0.04,976,10.29,1083
2020/6/29,9.16975,9.2045,8.9,9.2,9.17267,342248000,3080,917,0.04,976,10.29,1083
2020/6/30,9.314,9.52625,9.2665,9.49775,9.469538,367892000,3080,917,0.04,976,10.29,1083
2020/7/1,9.52075,9.57575,9.413,9.53,9.501692,326648000,3080,917,0.04,976,10.29,1083
2020/7/2,9.639,9.7375,9.57825,9.61225,9.583699,364056000,3080,917,0.04,976,10.29,1083
2020/7/6,9.74175,9.90875,9.7125,9.83925,9.810022,315892000,3080,917,0.04,976,10.29,1083
2020/7/7,9.94625,10.07,9.85075,9.87175,9.842426,357800000,3080,917,0.04,976,10.29,1083
2020/7/8,9.99375,10.225,9.9655,10.216,10.185655,365480000,3080,917,0.04,976,10.29,1083
2020/7/9,10.38025,10.57,10.2335,10.509,10.477783,494548000,3080,917,0.04,976,10.29,1083
2020/7/10,10.58875,10.65525,10.37875,10.47925,10.448123,497676000,3080,917,0.04,976,10.29,1083
2020/7/13,10.595,10.79225,10.025,10.05225,10.022392,457076000,3080,917,0.04,976,10.29,1083
2020/7/14,10.075,10.40275,9.7855,10.377,10.346177,542676000,3080,917,0.04,976,10.29,1083
2020/7/15,10.41425,10.433,10.05575,10.22725,10.196871,403984000,3080,917,0.04,976,10.29,1083
2020/7/16,10.015,10.20675,9.8955,10.13475,10.104648,344964000,3080,917,0.04,976,10.29,1083
2020/7/17,10.2255,10.2485,10.08775,10.2015,10.171196,266284000,3080,917,0.04,976,10.29,1083
2020/7/20,10.27425,10.53125,10.15675,10.51075,10.479527,284852000,3080,917,0.04,976,10.29,1083
2020/7/21,10.513,10.56,10.28675,10.3285,10.29782,277036000,3080,917,0.04,976,10.29,1083
2020/7/22,10.3675,10.6025,10.2915,10.43875,10.407743,367292000,3080,917,0.04,976,10.29,1083
2020/7/23,10.45,10.547,10.03125,10.12975,10.099663,411660000,3080,917,0.04,976,10.29,1083
2020/7/24,9.875,10.36475,9.777,10.1945,10.164218,473292000,3080,917,0.04,976,10.29,1083
2020/7/27,10.23225,10.44175,10.21775,10.4215,10.390544,292132000,3080,917,0.04,976,10.29,1083
2020/7/28,10.37425,10.382,10.20925,10.2155,10.185157,271636000,3080,917,0.04,976,10.29,1083
2020/7/29,10.39075,10.51625,10.347,10.4655,10.434412,284508000,3080,917,0.04,976,10.29,1083
2020/7/30,10.375,10.623,10.29525,10.614,10.582471,308880000,3080,917,0.04,976,10.29,1083
2020/7/31,10.56325,10.7665,10.433,10.61475,10.583219,386080000,3866,622,0.03,651,6.09,1055
2020/8/3,10.7325,11.09875,10.71525,11.01025,10.977544,412720000,3866,622,0.03,651,6.09,1055
2020/8/4,11.05,11.22775,10.906,11.22775,11.194398,310336000,3866,622,0.03,651,6.09,1055
2020/8/5,11.244,11.37175,11.16625,11.28675,11.253224,249924000,3866,622,0.03,651,6.09,1055
2020/8/6,11.34975,11.358,11.17875,11.3355,11.301827,244316000,3866,622,0.03,651,6.09,1055
